filename,width,height,class,xmin,ymin,xmax,ymax
startroadwork_video1_0081.jpg,1280,720,start_road_work,375,464,447,534
invert_carlos_0025.jpg,1280,720,invert,589,399,768,686
endroadwork_video2_0056.jpg,1280,720,end_road_work,422,352,603,519
startroadwork_video2_0078.jpg,1280,720,start_road_work,540,419,692,577
startroadwork_video2_0096.jpg,1280,720,start_road_work,461,247,613,380
stop_joao_0129.jpg,1280,720,stop,78,230,318,610
endroadwork_video2_0007.jpg,1280,720,end_road_work,462,367,612,543
startroadwork_video2_0129.jpg,1280,720,start_road_work,456,106,604,241
left_mario_0117.jpg,1280,720,left,710,323,969,528
more_speed_carlos_0075.jpg,1280,720,more_speed,450,431,715,686
endroadwork_video1_0073.jpg,1280,720,end_road_work,247,366,423,544
startroadwork_video1_0142.jpg,1280,720,start_road_work,342,393,433,483
left_mario_0020.jpg,1280,720,left,569,348,762,577
startroadwork_video2_0181.jpg,1280,720,start_road_work,405,160,569,329
more_speed_joao_0279.jpg,1280,720,more_speed,74,432,347,658
stop_joao_0242.jpg,1280,720,stop,703,204,938,544
left_mario_0035.jpg,1280,720,left,721,300,973,499
right_joao_0020.jpg,1280,720,right,2,400,281,621
endroadwork_video1_0039.jpg,1280,720,end_road_work,318,505,546,675
forward_joao_0106.jpg,1280,720,forward,266,308,506,648
endroadwork_video2_0045.jpg,1280,720,end_road_work,421,342,607,512
more_speed_mario_0083.jpg,1280,720,more_speed,632,333,812,520
stop_joao_0018.jpg,1280,720,stop,136,318,399,649
startroadwork_video1_0228.jpg,1280,720,start_road_work,334,406,485,572
stop_joao_0080.jpg,1280,720,stop,77,178,321,582
endroadwork_video2_0031.jpg,1280,720,end_road_work,401,334,607,515
more_speed_joao_0142.jpg,1280,720,more_speed,746,403,992,666
startroadwork_video2_0105.jpg,1280,720,start_road_work,471,251,605,383
left_mario_0037.jpg,1280,720,left,714,308,959,480
less_speed_joao_0049.jpg,1280,720,less_speed,170,364,444,669
startroadwork_video1_0119.jpg,1280,720,start_road_work,564,351,651,448
startroadwork_video1_0106.jpg,1280,720,start_road_work,441,328,530,415
startroadwork_video1_0306.jpg,1280,720,start_road_work,367,334,507,478
right_mario_0106.jpg,1280,720,right,47,311,364,558
forward_joao_0028.jpg,1280,720,forward,393,288,582,571
stop_joao_0045.jpg,1280,720,stop,192,339,476,694
endroadwork_video1_0106.jpg,1280,720,end_road_work,355,239,547,441
invert_mario_0085.jpg,1280,720,invert,715,422,926,720
stop_joao_0042.jpg,1280,720,stop,191,342,480,704
more_speed_joao_0202.jpg,1280,720,more_speed,747,522,986,698
less_speed_carlos_0073.jpg,1280,720,less_speed,805,412,1175,699
startroadwork_video2_0126.jpg,1280,720,start_road_work,450,107,600,222
more_speed_joao_0256.jpg,1280,720,more_speed,76,401,360,624
invert_mario_0038.jpg,1280,720,invert,269,422,496,659
invert_carlos_0065.jpg,1280,720,invert,1070,281,1232,657
left_mario_0057.jpg,1280,720,left,694,319,960,521
invert_joao_0009.jpg,1280,720,invert,166,375,370,685
right_joao_0043.jpg,1280,720,right,122,451,394,653
startroadwork_video1_0304.jpg,1280,720,start_road_work,361,327,508,473
stop_joao_0245.jpg,1280,720,stop,701,201,924,528
more_speed_carlos_0140.jpg,1280,720,more_speed,911,373,1212,648
